0x8062a128 CmpComputeKcbConvKey
0x805a1be8 MiCaptureImageExceptionValues
0x8054a820 ViDmaVerifierTag
0x8055f30c CcMapData
0x805f9f92 WmipDeleteMethod
0x8064e748 VerifierExTryToAcquireFastMutex
0x8054c344 Kd_VIDEO_Mask
0x8054ae9c __decimal_point
0x8056bee8 NtFlushBuffersFile
0x8052a6d6 RtlpVerGetConditionMask
0x8055b020 ExSemaphoreObjectType
0x804d7db4 GUID_DEVCLASS_ENUM1394
0x8063f8e4 IoGetPoNotifyParent
0x8055aed8 PerfInfoSampledProfileCaching
0x8054a560 ValidKernelPde
0x80574e38 IopTrackLink
0x806a01fa ExpInitializeCallbacks
0x805ead6a SeOpenObjectAuditAlarm
0x8057a5fa IoForwardIrpSynchronously
0x80532902 ExAcquireSharedStarveExclusive
0x8060cb50 NtQueryBootEntryOrder
0x8054a558 ValidKernelPte
0x8052f916 VF_FIND_BUFFER
0x80553eb0 MmSystemPageDirectory
0x80654e2c ViDeadlockAllocateFromPoolCache
0x8065539c ViDeadlockMergeNodes
0x804eef9c IoSetThreadHardErrorMode
0x804ef4f2 IoCallDriver
0x80552f18 KeUserApcDispatcher
0x80531d84 PerfInfoLogDpc
0x8065e262 KdpWriteControlSpace
0x8058a706 IopTranslateAndAdjustReqDesc
0x804faaa8 KeInsertQueueApc
0x8064cda0 ExpShutdownWorkerThreads
0x805587d8 MmPageAlignedPoolBase
0x805a25b6 MiWriteProtectSystemImage
0x8064f696 VerifierKeLowerIrql
0x805f50fa IoWMIAllocateInstanceIds
0x8052da0c RtlInitStackTraceDataBaseEx
0x8063cc87 OpcodeINB
0x805a712c MiUnmapViewInSystemSpace
0x806adea0 CmTypeName
0x8054b588 CcQueueThrottle
0x804fe928 ZwQueryEvent
0x8052990a SwapSplayLinks
0x80551e40 IopRootPortArbiter
0x8062baee CmpLoadHiveVolatile
0x80657090 ViBugcheckProcessMessageText
0x8067110c IopWstrBusTranslated
0x805513e0 IovDriverListHead
0x805691da IoFastQueryNetworkAttributes
0x804fe838 ZwPrivilegedServiceAuditAlarm
0x804e169c CcRepinBcb
0x8054c378 Kd_SERENUM_Mask
0x80551328 ExPageLockHandle
0x804feab8 ZwQuerySecurityObject
0x8055a9b8 WmipRegistrationSpinLock
0x80567070 FstubReadPartitionTableMBR
0x8051ac30 MiSessionPoolFreed
0x80642c08 MmAdjustWorkingSetSize
0x80639776 DbgkClearProcessDebugObject
0x80659b9c VfMessageRetrieveErrorData
0x804d7640 _imp__HalTranslateBusAddress
0x804f985e KeWaitForMultipleObjects
0x80580cd4 IopDeviceObjectToDeviceInstance
0x80553bc0 MiSystemPteSListHeadLock
0x80553b3c MiDelayPageFaults
0x8065e734 KdpSearchMemory
0x805d8048 RtlPrefixUnicodeString
0x8054c45c KdpTimeSlipEventLock
0x805d451a RtlMergeRangeLists
0x80514528 MiDereferenceControlArea
0x8054bc00 FsRtlWaitingLockLookasideList
0x804d7d94 GUID_DEVCLASS_DOT4
0x805eab36 NtCloseObjectAuditAlarm
0x805165f4 MiAttachAndLockWorkingSet
0x804d85f4 GUID_DEVICE_SURPRISE_REMOVAL
0x80553dec MiExtendedSubsectionsConvertedToDynamic
0x8054aa3c WmipGEChunkInfo
0x80519472 MmZeroPageThread
0x8067042c SeAnonymousLogonSid
0x804fb796 KeQueryPriorityThread
0x80536156 _strnicmp
0x804e7a5e ExFreeToPagedLookasideList
0x805cd75a NtTerminateJobObject
0x80594bd2 PnPBiosExamineBiosDeviceKey
0x8063ccc1 OpcodeINW
0x8066f8ac FsRtlpRedirs
0x805519ac PbBiosEntryPoint
0x8058fbfc PiWalkDeviceList
0x805500bc CcAggressiveZeroCount
0x80558184 MiNonCachedCollisions
0x80520444 MiRepointWsleHashIndex
0x80654964 VfIrpWatermark
0x8066fa2c OpcodeDispatchV86
0x8059da62 MmProbeAndLockProcessPages
0x805279f6 RawCompletionRoutine
0x8051a3fc MiAddRangeToCrashDump
0x80551800 IopTimer
0x8051816a MiRemoveMappedPtes
0x805e658c SeAccessCheckByType
0x80541e2c RtlpInterlockedPushEntrySList
0x804d8424 GUID_ACPI_CMOS_INTERFACE_STANDARD
0x80558460 MmExpansionLock
0x80524338 PopResetRangeEnum
0x8053cab4 KeReleaseSpinLockFromDpcLevel
0x80553af4 MxFreeDescriptor
0x80552de0 KiProcessInSwapListHead
0x8058ebd4 PiNotifyUserModeRemoveVetoed
0x8054a940 `VF_ASSERT_MAX_IRQL_::`3_::enable
0x804fe2d4 ZwDisplayString
0x8053bf36 TriageGetLoaderEntry
0x80563c66 FsRtlIsNotifyOnList
0x805799c2 IoSynchronousInvalidateDeviceRelations
0x805d1bd6 RtlRemoveUnicodePrefix
0x8052a53e RtlLookupElementGenericTableAvl
0x80670508 SepPrimaryDomainAdminSid
0x8052e0ba RtlpCopyAndNormalizePeHeaderForHash
0x80530ab0 ViSwap
0x8053850c _rttosnpop
0x805f5498 IoWMIOpenBlock
0x80546f00 KiDoubleFaultStack
0x80534298 ExpGetPoolTagInfo
0x80521de6 MiCheckForUserStackOverflow
0x804eb6ac FsRtlAcknowledgeOplockBreak
0x804dc458 DpcGuid
0x80554018 MmPteCodeEnd
0x805ce962 LdrpAccessResourceDataNoMultipleLanguage
0x80537f4b _SEH_epilog
0x80532c9c ExQueryPoolBlockSize
0x80648dd6 NtSetSystemPowerState
0x805a5756 MiMakeSystemAddressValid
0x8064fbde VerifierAllocatePoolWithTagPriority
